user_id,movie_id,rating
user_07066,movie_0360,4
user_02953,movie_0095,5
user_05528,movie_0518,4
user_07612,movie_0672,5
user_03424,movie_0580,3
user_07263,movie_0708,3
user_07818,movie_0081,2
user_03744,movie_0526,1
user_04454,movie_0551,4
user_02897,movie_0800,3
user_03810,movie_0072,1
user_05988,movie_0705,5
user_05899,movie_0756,3
user_09390,movie_0167,3
user_03348,movie_0168,3
user_05227,movie_0795,5
user_03773,movie_0617,3
user_06318,movie_0884,4
user_01737,movie_0844,2
user_03823,movie_0239,2
user_05692,movie_0302,3
user_08264,movie_0316,4
user_02227,movie_0695,5
user_00469,movie_0520,4
user_05895,movie_0483,3
user_01426,movie_0956,4
user_04616,movie_0664,4
user_07133,movie_0076,4
user_09189,movie_0968,4
user_00732,movie_0578,5
user_05960,movie_0064,4
user_08860,movie_0293,4
user_08495,movie_0118,4
user_09677,movie_0253,3
user_09061,movie_0460,5
user_09396,movie_0518,5
user_07561,movie_0473,4
user_00615,movie_0069,2
user_04048,movie_0663,2
user_05154,movie_0209,3
user_08556,movie_0702,5
user_00162,movie_0091,5
user_02521,movie_0897,4
user_07498,movie_0576,4
user_06476,movie_0376,5
user_05756,movie_0554,3
user_04400,movie_0668,4
user_07143,movie_0884,3
user_09574,movie_0747,4
user_06877,movie_0732,3
user_05377,movie_0238,2
user_09084,movie_0331,4
user_08152,movie_0364,1
user_06649,movie_0783,4
user_06173,movie_0728,2
user_05427,movie_0117,5
user_03748,movie_0947,2
user_09368,movie_0151,4
user_07037,movie_0642,3
user_05912,movie_0325,3
user_02066,movie_0505,4
user_02489,movie_0907,5
user_07515,movie_0400,2
user_04534,movie_0664,3
user_01919,movie_0682,5
user_07117,movie_0676,3
user_04277,movie_0257,5
user_02042,movie_0236,4
user_02877,movie_0484,3
user_06949,movie_0101,2
user_03021,movie_0506,2
user_03964,movie_0453,3
user_00173,movie_0403,4
user_07479,movie_0560,5
user_00481,movie_0196,3
user_09264,movie_0249,4
user_02997,movie_0796,4
user_08701,movie_0135,4
user_03228,movie_0742,5
user_09445,movie_0370,3
user_08058,movie_0744,3
user_09883,movie_0974,5
user_09933,movie_0799,5
user_07218,movie_0585,4
user_04915,movie_0269,3
user_01912,movie_0886,4
user_07073,movie_0099,3
user_07421,movie_0838,1
user_07105,movie_0452,3
user_01949,movie_0477,3
user_06275,movie_0515,3
user_04691,movie_0863,3
user_02294,movie_0754,3
user_08929,movie_0893,4
user_04609,movie_0069,5
user_05543,movie_0227,4
user_08873,movie_0185,3
user_08206,movie_0831,5
user_04975,movie_0269,4
user_07998,movie_0317,4
user_07622,movie_0840,5
user_01429,movie_0933,5
user_07383,movie_0891,4
user_03875,movie_0576,3
user_00760,movie_0758,4
user_07528,movie_0879,3
user_06798,movie_0080,3
user_02404,movie_0135,1
user_09239,movie_0524,4
user_03411,movie_0372,4
user_06444,movie_0842,3
user_06705,movie_0820,4
user_02497,movie_0421,2
user_02664,movie_0806,3
user_01457,movie_0630,4
user_04065,movie_0666,5
user_06724,movie_0034,5
user_00828,movie_0628,5
user_07441,movie_0202,5
user_07651,movie_0959,5
user_06510,movie_0642,4
user_06401,movie_0898,4
user_04570,movie_0839,5
user_00236,movie_0946,2
user_00111,movie_0725,4
user_03861,movie_0923,4
user_02135,movie_0853,4
user_06065,movie_0199,2
user_01987,movie_0499,5
user_06151,movie_0405,5
user_02744,movie_0149,5
user_03633,movie_0337,5
user_06459,movie_0413,2
user_01126,movie_0985,3
user_01649,movie_0396,3
user_05813,movie_0424,4
user_07976,movie_0212,2
user_09403,movie_0025,2
user_04098,movie_0173,3
user_06736,movie_0811,3
user_06083,movie_0305,3
user_01937,movie_0536,3
user_05093,movie_0395,3
user_06685,movie_0622,4
user_07884,movie_0047,5
user_05402,movie_0896,3
user_00456,movie_0465,3
user_09136,movie_0950,4
user_07586,movie_0336,5
user_04022,movie_0604,3
user_01423,movie_0276,2
user_02285,movie_0891,5
user_03696,movie_0596,3
user_05713,movie_0822,4
user_02777,movie_0157,4
user_05872,movie_0702,1
user_00392,movie_0127,1
user_06474,movie_0860,3
user_03281,movie_0377,3
user_06977,movie_0215,4
user_00668,movie_0968,3
user_09831,movie_0805,4
user_08314,movie_0373,5
user_00268,movie_0770,5
user_07850,movie_0611,3
user_07728,movie_0666,4
user_01955,movie_0932,5
user_03911,movie_0722,3
user_09709,movie_0835,5
user_05545,movie_0263,2
user_00475,movie_0461,4
user_04889,movie_0273,3
user_06663,movie_0393,2
user_02462,movie_0888,4
user_08623,movie_0777,4
user_06815,movie_0893,3
user_08507,movie_0622,4
user_01862,movie_0154,3
user_01053,movie_0898,4
user_01389,movie_0108,3
user_01854,movie_0657,3
user_02813,movie_0447,5
user_05712,movie_0405,5
user_00302,movie_0403,3
user_09643,movie_0109,3
user_01712,movie_0032,3
user_05848,movie_0584,5
user_03627,movie_0678,4
user_06466,movie_0820,2
user_06417,movie_0591,4
user_01879,movie_0487,4
user_00170,movie_0835,1
user_01413,movie_0619,5
user_02654,movie_0023,2
user_04233,movie_0462,3
user_02064,movie_0972,4
user_01626,movie_0174,3
user_03654,movie_0422,2
user_01605,movie_0729,4
user_04288,movie_0775,3
user_01565,movie_0900,4
user_00634,movie_0009,2
user_06265,movie_0823,2
user_04235,movie_0469,5
user_04406,movie_0106,4
user_02714,movie_0938,5
user_01990,movie_0012,4
user_02054,movie_0060,1
user_02805,movie_0643,2
user_08212,movie_0497,5
user_07757,movie_0797,5
user_02620,movie_0922,4
user_06462,movie_0236,3
user_03872,movie_0468,4
user_02136,movie_0514,3
user_02419,movie_0666,3
user_05568,movie_0326,5
user_09710,movie_0435,5
user_05200,movie_0129,3
user_02422,movie_0614,2
user_08134,movie_0914,5
user_05851,movie_0176,5
user_04092,movie_0096,4
user_04104,movie_0015,1
user_09009,movie_0759,3
user_09367,movie_0468,4
user_06286,movie_0345,4
user_02089,movie_0992,4
user_09688,movie_0696,5
user_09661,movie_0758,2
user_04299,movie_0756,4
user_07172,movie_0499,5
user_04487,movie_0708,4
user_06435,movie_0302,4
user_01993,movie_0335,3
user_00582,movie_0964,3
user_07928,movie_0234,5
user_06449,movie_0724,3
user_06390,movie_0107,5
user_00229,movie_0927,3
user_04115,movie_0032,2
user_01510,movie_0368,4
user_05817,movie_0584,4
user_08910,movie_0337,1
user_06537,movie_0568,3
user_08996,movie_0869,3
user_05939,movie_0102,4
user_03291,movie_0272,5
user_08262,movie_0889,4
user_08795,movie_0631,1
user_00603,movie_0380,3
user_02460,movie_0138,1
user_07941,movie_0617,3
user_02339,movie_0523,5
user_02497,movie_0060,5
user_06773,movie_0351,3
user_05971,movie_0813,3
user_00917,movie_0586,4
user_01242,movie_0514,4
user_06637,movie_0926,4
user_09340,movie_0454,3
user_04715,movie_0917,4
user_06583,movie_0786,2
user_04756,movie_0671,1
user_05473,movie_0228,3
user_02523,movie_0408,3
user_07220,movie_0884,4
user_02517,movie_0178,1
user_03545,movie_0338,4
user_04233,movie_0049,4
user_01817,movie_0893,2
user_07829,movie_0668,4
user_09028,movie_0953,5
user_05073,movie_0935,5
user_06404,movie_0325,5
user_06394,movie_0971,5
user_09915,movie_0050,4
user_02822,movie_0861,4
user_07554,movie_0362,4
user_04182,movie_0142,3
user_03948,movie_0697,3
user_02778,movie_0225,3
user_01569,movie_0913,3
user_07002,movie_0571,5
user_03397,movie_0984,5
user_07706,movie_0568,4
user_02661,movie_0764,3
user_05514,movie_0688,2
user_00172,movie_0622,5
user_05416,movie_0755,1
user_07923,movie_0278,4
user_00154,movie_0721,3
user_02846,movie_0037,5
user_07293,movie_0925,5
user_08633,movie_0914,3
user_03905,movie_0473,2
user_00039,movie_0234,2
user_00867,movie_0292,4
user_06665,movie_0223,3
user_08881,movie_0085,4
user_03288,movie_0987,3
user_02576,movie_0821,3
user_07292,movie_0121,2
user_09395,movie_0499,5
user_08386,movie_0261,3
user_00561,movie_0826,2
user_03772,movie_0198,3
user_04006,movie_0680,5
user_05915,movie_0237,3
user_09275,movie_0726,2
user_03851,movie_0795,4
user_05770,movie_0761,5
user_07893,movie_0532,2
user_05917,movie_0886,4
user_03994,movie_0686,4
user_05777,movie_0122,5
user_08117,movie_0887,5
user_09149,movie_0119,4
user_03496,movie_0453,4
user_01410,movie_0355,5
user_01883,movie_0731,4
user_02091,movie_0925,3
user_02000,movie_0582,3
user_00611,movie_0598,2
user_01575,movie_0128,4
user_03080,movie_0213,5
user_00739,movie_0711,4
user_03436,movie_0905,5
user_09586,movie_0554,1
user_06855,movie_0773,4
user_05666,movie_0896,3
user_04721,movie_0916,3
user_05165,movie_0658,5
user_00923,movie_0128,4
user_08098,movie_0799,5
user_06223,movie_0685,5
user_06580,movie_0833,2
user_07540,movie_0011,3
user_01913,movie_0125,3
user_03455,movie_0519,3
user_02317,movie_0478,3
user_07405,movie_0906,4
user_09441,movie_0048,3
user_08151,movie_0821,4
user_08328,movie_0898,2
user_05033,movie_0224,5
user_07023,movie_0788,5
user_08735,movie_0593,3
user_08842,movie_0222,3
user_02051,movie_0644,3
user_05340,movie_0088,1
user_02755,movie_0458,5
user_00929,movie_0720,4
user_01546,movie_0297,5
user_02520,movie_0257,3
user_03889,movie_0659,4
user_02578,movie_0289,1
user_03422,movie_0223,3
user_03691,movie_0793,5
user_03265,movie_0870,4
user_08889,movie_0134,5
user_06532,movie_0413,4
user_06575,movie_0096,4
user_09981,movie_0141,2
user_01144,movie_0202,4
user_09128,movie_0127,2
user_00115,movie_0641,5
user_05925,movie_0202,4
user_01523,movie_0602,5
user_09983,movie_0772,5
user_04392,movie_0875,3
user_01242,movie_0715,4
user_02636,movie_0987,4
user_06378,movie_0040,4
user_08951,movie_0624,2
user_08341,movie_0419,1
user_03711,movie_0426,3
user_01521,movie_0150,4
user_03569,movie_0165,4
user_03517,movie_0243,5
user_08359,movie_0755,3
user_08171,movie_0722,4
user_05994,movie_0957,4
user_01161,movie_0285,5
user_00288,movie_0625,4
user_04258,movie_0453,5
user_04083,movie_0919,5
user_04720,movie_0023,4
user_06521,movie_0682,3
user_04211,movie_0149,4
user_06218,movie_0456,5
user_03827,movie_0753,4
user_00750,movie_0342,5
user_09260,movie_0259,3
user_08664,movie_0202,3
user_06597,movie_0675,4
user_01270,movie_0222,5
user_03597,movie_0246,5
user_00076,movie_0049,4
user_07344,movie_0878,5
user_03377,movie_0129,3
user_03825,movie_0092,4
user_00387,movie_0988,5
user_01182,movie_0712,3
user_08785,movie_0896,3
user_04284,movie_0117,5
user_00592,movie_0290,4
user_08384,movie_0320,5
user_07590,movie_0209,4
user_01992,movie_0617,4
user_08137,movie_0476,5
user_08918,movie_0612,1
user_03191,movie_0656,5
user_03134,movie_0801,5
user_05466,movie_0199,4
user_00970,movie_0926,4
user_08045,movie_0969,3
user_02439,movie_0518,4
user_06902,movie_0654,1
user_05016,movie_0312,4
user_08984,movie_0870,4
user_05246,movie_0818,2
user_01940,movie_0377,5
user_02404,movie_0812,4
user_03682,movie_0060,2
user_03588,movie_0749,4
user_03357,movie_0621,5
user_06239,movie_0969,4
user_06477,movie_0123,4
user_02081,movie_0612,4
user_04733,movie_0058,3
user_08806,movie_0080,4
user_07057,movie_0340,5
user_02440,movie_0714,5
user_01941,movie_0555,4
user_02587,movie_0536,2
user_08040,movie_0047,5
user_08939,movie_0248,3
user_04102,movie_0696,4
user_03473,movie_0136,5
user_01352,movie_0282,3
user_05881,movie_0302,3
user_06775,movie_0970,5
user_07905,movie_0094,4
user_00143,movie_0646,3
user_06625,movie_0015,2
user_08395,movie_0928,5
user_08999,movie_0453,4
user_04597,movie_0312,4
user_01951,movie_0008,3
user_01979,movie_0752,5
user_09784,movie_0928,1
user_01960,movie_0115,5
user_07728,movie_0839,2
user_02184,movie_0334,4
user_08724,movie_0145,3
user_03724,movie_0266,4
user_02764,movie_0448,3
user_08382,movie_0086,5
user_08611,movie_0633,5
user_06504,movie_0676,5
user_04529,movie_0918,4
user_03004,movie_0949,3
user_02717,movie_0017,5
user_00018,movie_0436,3
user_06986,movie_0599,5
user_09302,movie_0485,2
user_06785,movie_0749,4
user_00525,movie_0441,4
user_06997,movie_0162,5
user_06701,movie_0929,4
user_09145,movie_0075,5
user_08904,movie_0245,3
user_03583,movie_0105,2
user_05026,movie_0186,1
user_00958,movie_0637,4
user_08193,movie_0136,4
user_01853,movie_0473,4
user_09338,movie_0108,3
user_05030,movie_0376,3
user_02344,movie_0318,4
user_01018,movie_0296,5
user_09471,movie_0544,5
user_02932,movie_0296,4
user_01398,movie_0629,2
user_00745,movie_0213,4
user_01107,movie_0856,4
user_00106,movie_0415,4
user_09633,movie_0750,5
user_00855,movie_0115,3
user_04565,movie_0478,3
user_05029,movie_0856,4
user_05250,movie_0951,4
user_03530,movie_0200,3
user_05536,movie_0833,4
user_04748,movie_0165,3
user_06881,movie_0711,5
user_03114,movie_0577,4
user_07513,movie_0503,3
user_05108,movie_0571,2
user_04768,movie_0622,5
user_07014,movie_0559,2
user_03870,movie_0934,4
user_05865,movie_0098,5
user_03873,movie_0293,2
user_07227,movie_0515,4
user_07323,movie_0091,4
user_00872,movie_0662,2
user_07130,movie_0673,5
user_09460,movie_0420,5
user_05004,movie_0897,4
user_06089,movie_0020,4
user_01933,movie_0743,4
user_02277,movie_0339,5
user_00013,movie_0598,2
user_03998,movie_0284,5
user_08480,movie_0903,2
user_07978,movie_0646,3
user_09613,movie_0248,4
user_02147,movie_0282,4
user_02043,movie_0205,3
user_08019,movie_0723,5
user_05497,movie_0764,1
user_02092,movie_0856,5
user_01967,movie_0445,4
user_01674,movie_0094,5
user_01877,movie_0053,4
user_03603,movie_0130,1
user_00835,movie_0938,5
user_03447,movie_0756,4
user_01108,movie_0790,3
user_09826,movie_0152,2
user_08441,movie_0534,4
user_03389,movie_0310,5
user_00919,movie_0004,3
user_07545,movie_0751,5
user_00700,movie_0085,5
user_09601,movie_0430,4
user_05521,movie_0840,5
user_08700,movie_0222,5
user_09296,movie_0678,5
user_07469,movie_0990,3
user_08180,movie_0168,4
user_07069,movie_0285,4
user_06501,movie_0880,4
user_03722,movie_0206,4
user_05120,movie_0785,5
user_07447,movie_0106,3
user_02140,movie_0670,3
user_09738,movie_0066,4
user_07381,movie_0043,1
user_00873,movie_0358,2
user_03562,movie_0929,2
user_06361,movie_0820,3
user_09018,movie_0123,4
user_06002,movie_0646,4
user_01839,movie_0345,2
user_03678,movie_0173,5
user_07715,movie_0810,5
user_02759,movie_0679,4
user_00640,movie_0850,2
