user_id,churn,churn_proba,cumulative_revenue,clv_baseline,tenure_days,months_active,monthly_spend,expected_value_loss,clv_band,churn_risk_band,priority_segment
user_00001,0,0.00023778322421418689,538.4960000000001,538.4960000000001,448,14.933333333333334,36.06,0.1280453151064428,high,low,Other
user_00002,0,0.024473700461467497,195.506,195.506,402,13.4,14.59,4.784755282419664,medium,high,Other
user_00003,1,0.009874913852263844,252.54566666666668,252.54566666666668,647,21.566666666666666,11.71,2.493866702095874,medium,medium,Other
user_00004,0,0.012294332784641057,297.976,297.976,313,10.433333333333334,28.56,3.6634161058362036,medium,medium,Other
user_00005,0,0.0470713344055624,77.90999999999998,77.90999999999998,245,8.166666666666666,9.54,3.667327663537366,low,high,Other
user_00006,0,0.20034027389532266,188.87333333333333,188.87333333333333,410,13.666666666666666,13.82,37.83893533152258,medium,high,Other
user_00007,0,0.01474726593743644,100.78866666666666,100.78866666666666,109,3.6333333333333333,27.74,1.4863572708129686,low,medium,Other
user_00008,0,0.0034774328699848714,216.31000000000003,216.31000000000003,970,32.333333333333336,6.69,0.7522035041064277,medium,medium,Other
user_00009,0,0.024063066963281077,31.746000000000002,31.746000000000002,78,2.6,12.21,0.7639061238163212,low,high,Other
user_00010,0,0.012507372642264312,254.98,254.98,330,11.0,23.18,3.189129876324554,medium,medium,Other
user_00011,0,0.0002526077972352346,18482.053666666667,18482.053666666667,997,33.233333333333334,556.13,4.668710865120057,high,low,Other
user_00012,0,0.0011923454963370926,982.128,982.128,1008,33.6,29.23,1.171035897626556,high,low,Other
user_00013,0,0.01758911911804137,556.664,556.664,894,29.8,18.68,9.79122940472538,high,high,High CLV / High Churn
user_00014,0,0.017336907481805074,521.433,521.433,621,20.7,25.19,9.040035678960065,high,high,High CLV / High Churn
user_00015,0,0.014893271272422603,96.28933333333333,96.28933333333333,562,18.733333333333334,5.14,1.4340631619740576,low,medium,Other
user_00016,0,0.01404345092975068,37.184,37.184,332,11.066666666666666,3.36,0.5221916793718493,low,medium,Other
user_00017,0,0.028633260258899347,429.3726666666667,429.3726666666667,962,32.06666666666667,13.39,12.294339312724304,high,high,High CLV / High Churn
user_00018,0,0.00195462490599387,43.60733333333333,43.60733333333333,149,4.966666666666667,8.78,0.08523597981731001,low,low,Other
user_00019,0,0.005328220430543908,33.23866666666667,33.23866666666667,97,3.2333333333333334,10.28,0.1771029428173721,low,medium,Other
user_00020,0,0.009101195719315374,275.076,275.076,729,24.3,11.32,2.503520513686396,medium,medium,Other
user_00021,1,0.9859673688078816,245.38266666666664,245.38266666666664,427,14.233333333333333,17.24,241.93930220439478,medium,high,Other
user_00022,0,0.19478359398059567,300.128,300.128,664,22.133333333333333,13.56,58.46001049420821,medium,high,Other
user_00023,0,0.0357363706796374,141.02599999999998,141.02599999999998,321,10.7,13.18,5.039757411466543,medium,high,Other
user_00024,0,0.21080858694573806,270.86766666666665,270.86766666666665,341,11.366666666666667,23.83,57.10123005928919,medium,high,Other
user_00025,0,0.0010302417072329407,225.03600000000003,225.03600000000003,564,18.8,11.97,0.23184147282887207,medium,low,Other
user_00026,0,0.008919774580906845,1227.4080000000001,1227.4080000000001,1008,33.6,36.53,10.94820267880171,high,medium,Other
user_00027,0,0.0203155761852709,460.12933333333325,460.12933333333325,779,25.966666666666665,17.72,9.347792526411242,high,high,High CLV / High Churn
user_00028,0,0.0015290000963100712,399.2053333333333,399.2053333333333,289,9.633333333333333,41.44,0.6103849931141606,high,low,Other
user_00028,0,0.0015290000963100712,399.2053333333333,399.2053333333333,289,9.633333333333333,41.44,0.6103849931141606,high,low,Other
user_00029,0,0.0019395201324517452,95.676,95.676,238,7.933333333333334,12.06,0.18556552819245317,low,low,Other
user_00030,0,0.019108090234996572,140.685,140.685,415,13.833333333333334,10.17,2.688221674710493,medium,high,Other
user_00031,0,0.0035705013481512563,89.73733333333334,89.73733333333334,148,4.933333333333334,18.19,0.32040726964616534,low,medium,Other
user_00032,0,0.0008993618031264131,138.3153333333333,138.3153333333333,554,18.466666666666665,7.49,0.12439552758669753,medium,low,Other
user_00033,0,0.001270699858919665,374.745,374.745,415,13.833333333333334,27.09,0.4761884186308498,high,low,Other
user_00034,0,0.05348901250341757,270.872,270.872,588,19.6,13.82,14.488675794825724,medium,high,Other
user_00035,0,0.0021707160711824792,63.114666666666665,63.114666666666665,97,3.2333333333333334,19.52,0.13700402126065844,low,low,Other
user_00036,1,0.9851515105132324,88.95866666666666,88.95866666666666,274,9.133333333333333,9.74,87.63776483990979,low,high,Other
user_00037,0,0.014603373869549317,419.8306666666666,419.8306666666666,457,15.233333333333333,27.56,6.130944187235468,high,medium,Other
user_00038,0,0.02353861678314231,331.85633333333334,331.85633333333334,269,8.966666666666667,37.01,7.811439057392069,high,high,High CLV / High Churn
user_00039,0,0.007504335718389562,252.906,252.906,549,18.3,13.82,1.8978915291950307,medium,medium,Other
